랭킹,제목,가수,좋아요,좋아요차이
1,초록빛,폴킴,40684,33419
2,넘쳐흘러,엠씨더맥스,80867,73602
3,벌써 12시,청하,75813,68548
4,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",50269,43004
5,180도,벤,119637,112372
6,신용재,하은 (라코스테남),82137,74872
7,SOLO,제니 (JENNIE),160094,152829
8,너를 만나,폴킴,160941,153676
9,MILLIONS,WINNER,101940,94675
10,아낙네,MINO (송민호),141910,134645
11,Love Shot,EXO,121564,114299
12,너도 그냥 날 놓아주면 돼,윤건,42457,35192
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,235388,228123
14,YES or YES,TWICE (트와이스),116164,108899
15,Tempo,EXO,167954,160689
16,내 생에 아름다운,케이윌,91347,84082
17,해야 (Sunrise),여자친구 (GFRIEND),29781,22516
18,IDOL,방탄소년단,214703,207438
19,아름답고도 아프구나,비투비,121497,114232
20,흔한 이별,허각,37955,30690
21,%%(응응),Apink (에이핑크),25890,18625
22,삐삐,아이유,204602,197337
23,첫눈에,헤이즈 (Heize),50803,43538
24,이별하러 가는 길,임한별,71651,64386
25,가을 타나 봐,바이브,112979,105714
26,"thank u, next",Ariana Grande,83554,76289
27,고백,양다일,98632,91367
28,Way Back Home,숀 (SHAUN),250209,242944
29,봄바람,Wanna One (워너원),125684,118419
30,열애중,벤,149006,141741
31,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136391,129126
32,FAKE LOVE,방탄소년단,269261,261996
33,사계 (하루살이),엠씨더맥스,22003,14738
34,We all lie,하진,43493,36228
35,봄날,방탄소년단,378339,371074
36,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120928,113663
37,트라우마 (Trauma),EXO,67092,59827
38,Gravity,EXO,95933,88668
39,Wait,EXO,67889,60624
40,No Question,"매드클라운,스텔라장 (Stella Jang)",12654,5389
41,닿은 순간 (Ooh La La La),EXO,93293,86028
42,I`m Fine,방탄소년단,157946,150681
43,알았다면,장덕철,21676,14411
44,07월 24일,EXO,91945,84680
45,습관 (Bad Habits),숀 (SHAUN),18828,11563
46,지나오다,닐로 (Nilo),192552,185287
47,너 없인 안 된다,비투비,150671,143406
48,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,24371,17106
49,Sign,EXO,90119,82854
50,그때가 좋았어,케이시 (Kassy),18624,11359
51,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79865,72600
52,DNA,방탄소년단,335248,327983
53,여기 있을게 (Smile On My Face),EXO,87125,79860
54,너는 어땠을까,노을,38446,31181
55,그리워하다,비투비,219271,212006
56,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,203098,195833
57,Damage,EXO,83660,76395
58,후폭풍 (Bad Dream),EXO,83558,76293
59,Euphoria,방탄소년단,151606,144341
60,오아시스 (Oasis),EXO,86658,79393
61,가끔 (With You),EXO,84858,77593
62,Universe,EXO,185886,178621
63,비,폴킴,184100,176835
64,Answer : Love Myself,방탄소년단,131697,124432
65,미안해,양다일,142783,135518
66,Bohemian Rhapsody (2011 Remaster),Queen,89308,82043
67,헤어지는 중,펀치 (Punch),98609,91344
68,우리 그만하자,로이킴,122052,114787
69,사이렌 (Siren),선미,110424,103159
70,밤편지,아이유,304490,297225
71,행복,오반,44871,37606
72,Dance The Night Away,TWICE (트와이스),138960,131695
73,에너제틱 (Energetic),Wanna One (워너원),286764,279499
74,그 남자를 떠나,god,15035,7770
75,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,192047,184782
76,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",107630,100365
77,시간이 들겠지 (Feat. Colde),로꼬,96953,89688
78,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",90165,82900
79,이 마음,펀치 (Punch),7265,0
80,이별길 (GOODBYE ROAD),iKON,84652,77387
81,가을 안부,먼데이 키즈 (Monday Kiz),126585,119320
82,Beautiful,Wanna One (워너원),235187,227922
83,Wind flower,마마무(Mamamoo),49659,42394
84,동화 (feat. 아이유),김동률,55248,47983
85,Epiphany,방탄소년단,120225,112960
86,사랑을 했다 (LOVE SCENARIO),iKON,279336,272071
87,BOOMERANG (부메랑),Wanna One (워너원),144221,136956
88,그때 헤어지면 돼,로이킴,191983,184718
89,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9738,2473
90,Anpanman,방탄소년단,149413,142148
91,켜줘 (Light),Wanna One (워너원),133461,126196
92,꽃 (Prod. AVIN),HAON (김하온),10397,3132
93,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,75242,67977
94,어쩌나,세븐틴,71673,64408
95,꿈처럼 내린,다비치,38155,30890
96,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81645,74380
97,불꽃놀이 (Flowerbomb),Wanna One (워너원),72606,65341
98,Trivia 轉 : Seesaw,방탄소년단,114669,107404
99,술래,Wanna One (워너원),69757,62492
100,A-TEEN,세븐틴,82330,75065
계,,,11438734,10712234
