랭킹,제목,가수명,좋아요수,좋아요 차이
1,초록빛,폴킴,28363,22268
2,넘쳐흘러,엠씨더맥스,78301,72206
3,벌써 12시,청하,72785,66690
4,띵 (Prod. By 기리보이),Jvcki Wai,46930,40835
5,180도,벤,118407,112312
6,신용재,하은 (라코스테남),80890,74795
7,SOLO,제니 (JENNIE),159403,153308
8,너를 만나,폴킴,159592,153497
9,아낙네,MINO (송민호),141147,135052
10,MILLIONS,WINNER,100674,94579
11,Love Shot,EXO,120829,114734
12,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,234457,228362
13,YES or YES,TWICE (트와이스),115535,109440
14,No Question,매드클라운,7406,1311
15,너도 그냥 날 놓아주면 돼,윤건,40352,34257
16,Tempo,EXO,167711,161616
17,내 생에 아름다운,케이윌,90530,84435
18,IDOL,방탄소년단,214074,207979
19,해야 (Sunrise),여자친구 (GFRIEND),27302,21207
20,가을 타나 봐,바이브,112619,106524
21,아름답고도 아프구나,비투비,120946,114851
22,흔한 이별,허각,37351,31256
23,%%(응응),Apink (에이핑크),24732,18637
24,첫눈에,헤이즈 (Heize),50225,44130
25,삐삐,아이유,204013,197918
26,고백,양다일,98165,92070
27,이별하러 가는 길,임한별,71002,64907
28,Way Back Home,숀 (SHAUN),249781,243686
29,봄바람,Wanna One (워너원),125389,119294
30,꽃 (Prod. AVIN),HAON (김하온),7193,1098
31,"thank u, next",Ariana Grande,82567,76472
32,FAKE LOVE,방탄소년단,269001,262906
33,트라우마 (Trauma),EXO,66875,60780
34,열애중,벤,148625,142530
35,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136182,130087
36,사계 (하루살이),엠씨더맥스,21209,15114
37,Wait,EXO,67687,61592
38,Gravity,EXO,95855,89760
39,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1,120560,114465
40,봄날,방탄소년단,377917,371822
41,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,22955,16860
42,닿은 순간 (Ooh La La La),EXO,93219,87124
43,We all lie,하진,39109,33014
44,너 없인 안 된다,비투비,150427,144332
45,I`m Fine,방탄소년단,157558,151463
46,24/7,EXO,91858,85763
47,지나오다,닐로 (Nilo),192267,186172
48,습관 (Bad Habits),숀 (SHAUN),18121,12026
49,Sign,EXO,90051,83956
50,그리워하다,비투비,219088,212993
51,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79415,73320
52,여기 있을게 (Smile On My Face),EXO,87067,80972
53,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202961,196866
54,알았다면,장덕철,21142,15047
55,DNA,방탄소년단,335007,328912
56,Bohemian Rhapsody (2011 Remaster),Queen,88803,82708
57,Damage,EXO,83607,77512
58,너는 어땠을까,노을,37851,31756
59,Euphoria,방탄소년단,151212,145117
60,가끔 (With You),EXO,84802,78707
61,오아시스 (Oasis),EXO,86589,80494
62,후폭풍 (Bad Dream),EXO,83521,77426
63,사이렌 (Siren),선미,110226,104131
64,Dance The Night Away,TWICE (트와이스),138777,132682
65,Answer : Love Myself,방탄소년단,131143,125048
66,비,폴킴,183620,177525
67,헤어지는 중,펀치 (Punch),98335,92240
68,미안해,양다일,142444,136349
69,그때가 좋았어,케이시 (Kassy),16797,10702
70,우리 그만하자,로이킴,121836,115741
71,Universe,EXO,185808,179713
72,밤편지,아이유,304192,298097
73,행복,오반,43866,37771
74,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191784,185689
75,사랑을 했다 (LOVE SCENARIO),iKON,279166,273071
76,시간이 들겠지 (Feat. Colde),로꼬,96721,90626
77,이 마음,펀치 (Punch),6095,0
78,flex (Prod. By 기리보이),기리보이,107211,101116
79,IndiGO,저스디스 (JUSTHIS),89823,83728
80,가을 안부,먼데이 키즈 (Monday Kiz),126327,120232
81,그 남자를 떠나,god,14469,8374
82,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9305,3210
83,이별길 (GOODBYE ROAD),iKON,84451,78356
84,에너제틱 (Energetic),Wanna One (워너원),286700,280605
85,동화 (feat. 아이유),김동률,55113,49018
86,눈,폴킴,6370,275
87,Epiphany,방탄소년단,119889,113794
88,Wind flower,마마무(Mamamoo),49289,43194
89,Beautiful,Wanna One (워너원),235175,229080
90,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74825,68730
91,그때 헤어지면 돼,로이킴,191756,185661
92,Anpanman,방탄소년단,149227,143132
93,BOOMERANG (부메랑),Wanna One (워너원),144139,138044
94,꿈처럼 내린,다비치,37954,31859
95,켜줘 (Light),Wanna One (워너원),133403,127308
96,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81507,75412
97,Trivia 轉 : Seesaw,방탄소년단,114324,108229
98,불꽃놀이 (Flowerbomb),Wanna One (워너원),72498,66403
99,YA,이민혁 (HUTA),17036,10941
100,술래,Wanna One (워너원),69638,63543
계,,,11230451,10620951
